tic,fyear,sale,cogs,ni,at,invt,teq,gross_margin,net_margin,roa,roe,inventory_turnover
COST,2020,166761.0,143186.0,4002.0,55556.0,12242.0,18705.0,0.14136998458872277,0.023998416896036844,0.07203542371661027,0.21395348837209302,11.696291455644502
COST,2021,195929.0,168903.0,5007.0,59268.0,14215.0,18078.0,0.13793772233819393,0.025555175599324246,0.08448066410204495,0.2769664785927647,11.882026028842771
COST,2022,226954.0,197482.0,5844.0,64166.0,17907.0,20647.0,0.1298589141411916,0.025749711395260715,0.0910762709222953,0.283043541434591,11.028201262076283
COST,2023,242290.0,210509.0,6292.0,68994.0,16651.0,25058.0,0.13116925997771267,0.025968880267448098,0.09119633591326783,0.2510974539069359,12.642423878445738
COST,2024,254453.0,220121.0,7367.0,69831.0,18647.0,23622.0,0.13492472087183094,0.028952301603832536,0.1054975583909725,0.3118702904072475,11.804633453102376
COST,2025,275235.0,237460.0,8099.0,77099.0,18116.0,29164.0,0.13724635311642777,0.029425763438516175,0.10504675806430692,0.27770539020710466,13.107750055199823
DLTR,2020,25509.3,17043.2,1341.9,20696.0,3427.0,7285.3,0.3318828819293355,0.05260434429796192,0.06483861615771164,0.1841928266509272,4.973212722497812
DLTR,2021,26321.2,17869.0,1327.9,21721.8,4367.3,7718.5,0.32111757822591674,0.05044982751546282,0.061132134537653426,0.17204119971497053,4.091543974538044
DLTR,2022,28331.7,18658.9,1615.4,23022.1,5449.3,8751.5,0.34141262261000926,0.05701740453273189,0.07016736092710918,0.1845854996286351,3.424091167672912
DLTR,2023,30603.8,20344.8,-998.4,22023.5,5112.8,7313.1,0.3352198093047269,-0.032623399708532924,-0.04533339387472472,-0.13652213151741394,3.979189485213581
DLTR,2024,17578.5,10759.3,-3030.1,18644.0,2672.0,3977.4,0.38792843530449134,-0.17237534488153142,-0.16252413645140526,-0.7618293357469703,4.026684131736527
DLTR,2025,19411.8,11700.8,1282.5,13466.2,2495.4,3754.9,0.3972326110922223,0.06606806169443329,0.09523844885713861,0.3415537031612027,4.68894766370121
KR,2020,132498.0,101597.0,2585.0,48662.0,7063.0,9550.0,0.23321861462059804,0.019509728448731303,0.053121532201717975,0.2706806282722513,14.384397564774176
KR,2021,137888.0,107539.0,1655.0,49086.0,6783.0,9429.0,0.22009892086330934,0.012002494778370851,0.033716334596422606,0.17552232474281473,15.854194309302668
KR,2022,148258.0,116480.0,2244.0,49623.0,7560.0,10014.0,0.21434256498806134,0.015135776821486868,0.045220966084275435,0.22408627920910726,15.407407407407407
KR,2023,150039.0,116675.0,2164.0,50505.0,7105.0,11601.0,0.22236885076546764,0.014422916708322502,0.042847242847242846,0.18653564347901044,16.421534130893736
KR,2024,147123.0,113720.0,2665.0,52616.0,7038.0,8281.0,0.22704131916831494,0.0181140950089381,0.050649992397749734,0.3218210361067504,16.15799943165672
KR,2025,147642.0,113240.0,1016.0,49953.0,6892.0,5936.0,0.23300957722057408,0.006881510681242465,0.020339118771645348,0.1711590296495957,16.430644225188626
TGT,2020,93561.0,65696.0,4368.0,51248.0,10653.0,14440.0,0.2978270860721882,0.04668611921634014,0.08523259444270996,0.30249307479224374,6.16690134234488
TGT,2021,106005.0,74665.0,6946.0,53811.0,13902.0,12827.0,0.2956464317720862,0.0655252110749493,0.12908141458066194,0.541513993919077,5.3708099554021
TGT,2022,109120.0,81914.0,2780.0,53335.0,13499.0,11232.0,0.24932184750733138,0.025476539589442817,0.05212337114465173,0.2475071225071225,6.068153196533077
TGT,2023,107412.0,77350.0,4138.0,55356.0,11886.0,13432.0,0.2798756191114587,0.03852455963951886,0.07475251101958234,0.30807027992852887,6.507656065959953
TGT,2024,106566.0,76050.0,4091.0,57769.0,12740.0,14666.0,0.2863577501266821,0.03838935495373759,0.07081652789558414,0.27894449747715805,5.969387755102041
TGT,2025,104780.0,74994.0,3705.0,59490.0,12304.0,16165.0,0.28427180759686965,0.03535980148883375,0.062279374684820976,0.2291988864831426,6.095091027308192
WMT,2020,556933.0,409163.0,13510.0,252496.0,44949.0,87531.0,0.2653281453963044,0.024257855074129205,0.053505798111653256,0.15434531765888657,9.10282764911344
WMT,2021,569962.0,418342.0,13673.0,244860.0,56511.0,91891.0,0.2660177345156344,0.02398931858615136,0.05584007187780773,0.14879585595977843,7.402841924581055
WMT,2022,608481.0,452776.0,11680.0,243197.0,56576.0,83754.0,0.2558913096711319,0.01919534052829916,0.04802690822666398,0.13945602598084866,8.002969457013574
WMT,2023,645737.0,478289.0,15511.0,252399.0,54892.0,90349.0,0.25931300204262725,0.02402061520402269,0.0614542846841707,0.1716787125480083,8.71327333673395
WMT,2024,678338.0,498780.0,19436.0,260823.0,56435.0,97421.0,0.2647028472531393,0.02865238273545047,0.07451796812397679,0.1995052401432956,8.838132364667317
WMT,2025,710813.0,521112.0,21893.0,284668.0,58851.0,105887.0,0.2668789118938455,0.030799943163673148,0.07690713392443127,0.20675814783684493,8.854768822959677
